game_id,team_id,player_id,Fg2PtAtt,Fg2PtMade,Fg3PtAtt,Fg3PtMade,FgAtt,FgMade,FtAtt,FtMade,OffReb,DefReb,Reb,Ast,Pts,Tov,Stl,Blk,BlkAgainst,FoulPers,PlusMinus,MinSeconds
32232,86,9166,2,1,1,0,3,1,4,4,0,0,0,2,6,2,0,0,1,3,4,1055
32242,86,9166,1,0,2,1,3,1,0,0,0,2,2,4,3,3,0,1,1,2,-1,968
32261,86,9166,2,0,6,3,8,3,1,1,0,4,4,2,10,2,0,0,0,3,5,1836
32281,86,9166,4,2,3,0,7,2,0,0,0,2,2,8,4,0,0,0,1,2,-7,1213
32296,86,9166,3,0,3,0,6,0,0,0,0,0,0,5,0,0,0,1,0,4,7,993
32302,86,9166,3,2,1,0,4,2,2,2,0,2,2,2,6,3,0,1,0,5,13,1109
32318,86,9166,4,0,3,2,7,2,0,0,1,4,5,9,6,3,0,0,1,4,1,1859
32334,86,9166,1,0,0,0,1,0,2,2,0,0,0,3,2,1,1,0,0,2,13,671
32341,86,9166,5,2,1,0,6,2,0,0,3,0,3,4,4,1,0,0,0,1,-9,1289
32363,86,9166,1,0,5,1,6,1,0,0,0,2,2,3,3,1,1,0,0,2,-10,1602
32379,86,9166,5,3,3,1,8,4,1,1,0,1,1,3,10,0,0,0,0,2,13,1222
32395,86,9166,4,3,1,0,5,3,0,0,1,3,4,2,6,0,0,0,0,0,3,369
32008,86,9159,1,1,2,0,3,1,0,0,0,4,4,1,2,1,0,0,0,2,-1,549
32020,86,9159,1,1,8,4,9,5,2,1,0,6,6,1,15,0,1,0,0,2,2,1055
32042,86,9159,2,0,2,1,4,1,0,0,1,2,3,0,3,0,1,0,0,3,1,729
32057,86,9159,1,0,4,0,5,0,0,0,0,6,6,2,0,0,0,0,0,5,0,1467
32059,86,9159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32088,86,9159,0,0,2,1,2,1,0,0,0,2,2,0,3,0,0,0,0,1,-2,344
32097,86,9159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32113,86,9159,1,1,1,0,2,1,0,0,1,1,2,2,2,1,0,1,0,1,4,296
32132,86,9159,0,0,3,1,3,1,0,0,0,2,2,0,3,0,0,0,0,1,-6,603
32134,86,9159,3,3,7,5,10,8,0,0,1,6,7,1,21,0,1,0,0,3,23,1465
32159,86,9159,1,0,7,5,8,5,0,0,0,5,5,2,15,1,0,0,0,3,22,1211
32169,86,9159,3,2,3,1,6,3,0,0,0,4,4,2,7,0,0,2,1,3,0,1135
32179,86,9159,2,2,5,3,7,5,1,1,1,2,3,0,14,1,1,0,0,2,1,1085
32199,86,9159,2,1,6,4,8,5,0,0,0,1,1,2,14,0,0,1,0,3,9,1252
32208,86,9159,0,0,2,1,2,1,0,0,0,4,4,0,3,1,0,0,0,2,-6,957
32221,86,9159,2,2,7,3,9,5,2,1,0,3,3,2,14,0,0,1,0,2,20,1506
32232,86,9159,0,0,5,0,5,0,0,0,0,0,0,1,0,0,0,1,0,2,-3,805
32242,86,9159,1,0,6,1,7,1,2,2,1,1,2,1,5,0,0,0,1,1,2,869
32261,86,9159,4,3,3,0,7,3,0,0,2,2,4,1,6,1,1,0,0,3,1,813
32281,86,9159,0,0,3,0,3,0,0,0,1,0,1,0,0,0,0,0,0,2,-5,626
32296,86,9159,4,2,6,3,10,5,0,0,2,6,8,2,13,1,0,0,1,2,0,1387
32302,86,9159,2,1,4,1,6,2,2,1,0,1,1,0,6,1,0,0,0,1,1,798
32318,86,9159,2,0,5,1,7,1,0,0,0,7,7,1,3,2,0,0,0,2,12,920
32334,86,9159,6,3,6,2,12,5,0,0,0,6,6,1,12,1,1,1,0,2,12,1352
32341,86,9159,0,0,5,2,5,2,4,4,1,2,3,0,10,0,1,0,0,3,-14,1237
32363,86,9159,1,0,5,2,6,2,0,0,0,1,1,0,6,0,0,0,1,2,-14,889
32379,86,9159,1,1,4,1,5,2,0,0,0,2,2,0,5,2,0,1,0,2,-2,932
32395,86,9159,7,5,3,1,10,6,1,1,1,5,6,4,14,0,1,0,0,1,-5,2464
31184,86,9540,0,0,1,0,1,0,0,0,0,2,2,1,0,0,0,0,0,0,2,315
31198,86,9540,0,0,1,1,1,1,0,0,0,0,0,0,3,0,0,0,0,0,-4,88
31227,86,9540,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-14,279
31236,86,9540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31252,86,9540,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-4,161
31269,86,9540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31378,86,9540,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,-1,63
31401,86,9540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31177,86,9157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31198,86,9157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31579,86,9157,10,3,2,2,12,5,0,0,0,1,1,4,12,1,2,0,1,1,16,1024
31601,86,9157,6,1,1,0,7,1,3,3,1,0,1,4,5,2,0,0,1,2,-5,1137
31611,86,9157,9,4,6,0,15,4,5,5,3,0,3,2,13,2,1,0,2,1,7,1574
31626,86,9157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31640,86,9157,9,5,7,2,16,7,6,6,0,1,1,2,22,1,1,0,1,0,10,1450
31644,86,9157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31671,86,9157,8,4,4,0,12,4,7,5,1,1,2,5,13,1,0,0,1,1,16,1286
31686,86,9157,11,8,5,2,16,10,3,3,2,4,6,8,25,1,0,0,1,1,23,1724
31709,86,9157,18,13,4,1,22,14,5,3,2,3,5,3,32,4,2,1,0,1,6,2033
31718,86,9157,9,4,3,1,12,5,2,2,2,0,2,2,13,4,0,0,0,3,9,1620
31738,86,9157,9,2,6,1,15,3,1,1,0,5,5,2,8,2,2,1,0,2,12,1849
31743,86,9157,12,5,8,3,20,8,4,3,0,2,2,9,22,3,1,0,3,2,-4,2330
31765,86,9157,12,4,5,2,17,6,2,2,0,2,2,4,16,3,1,0,2,1,-7,1946
31771,86,9157,12,8,5,1,17,9,5,4,0,4,4,1,23,1,0,1,0,2,7,1774
31791,86,9157,8,2,3,1,11,3,1,1,2,3,5,3,8,2,0,0,0,0,-21,1356
31803,86,9157,5,3,2,1,7,4,0,0,0,1,1,5,9,2,0,0,1,0,8,1277
31814,86,9157,14,6,4,2,18,8,3,3,1,1,2,4,21,1,1,0,2,3,15,1712
31829,86,9157,14,5,2,0,16,5,1,1,2,1,3,3,11,0,2,1,1,1,0,1871
31841,86,9157,14,6,4,1,18,7,2,2,3,6,9,4,17,4,0,0,0,1,-9,1678
31859,86,9157,8,4,3,0,11,4,0,0,1,3,4,3,8,3,3,0,0,0,9,1345
31873,86,9157,16,11,3,0,19,11,7,6,0,4,4,2,28,1,1,0,1,2,13,1945
31880,86,9157,15,9,2,0,17,9,4,3,1,0,1,6,21,1,2,0,1,2,13,2189
31897,86,9157,16,9,4,1,20,10,4,4,0,3,3,7,25,3,0,0,2,2,-3,2459
31910,86,9157,13,9,4,1,17,10,5,5,0,1,1,5,26,1,1,0,1,4,-4,2197
31926,86,9157,13,7,2,0,15,7,6,5,0,3,3,6,19,2,0,0,1,3,-4,2249
31934,86,9157,12,8,9,3,21,11,4,4,0,4,4,3,29,3,2,0,0,1,19,2223
31950,86,9157,13,8,8,5,21,13,1,1,2,1,3,12,32,2,0,1,0,5,22,2100
31965,86,9157,18,12,6,3,24,15,4,2,1,2,3,7,35,1,2,0,1,5,7,2150
31976,86,9157,15,5,3,1,18,6,6,6,1,0,1,4,19,2,2,0,0,3,13,1886
32002,86,9157,4,1,1,0,5,1,0,0,0,1,1,1,2,0,0,0,1,1,-3,556
32008,86,9157,14,8,7,3,21,11,6,5,0,1,1,5,30,2,2,0,1,5,-8,2263
32020,86,9157,13,9,4,1,17,10,4,2,3,3,6,5,23,1,1,1,1,2,15,1929
32042,86,9157,9,4,2,0,11,4,2,2,1,0,1,1,10,2,1,0,0,2,-2,1871
32057,86,9157,12,5,8,4,20,9,6,6,0,1,1,6,28,4,0,0,0,4,-22,1931
32059,86,9157,11,4,2,1,13,5,11,11,1,2,3,6,22,4,1,0,0,3,4,2121
32088,86,9157,12,5,6,3,18,8,2,2,1,4,5,8,21,1,1,0,1,1,25,1901
32097,86,9157,7,4,6,3,13,7,4,3,0,3,3,4,20,3,0,2,0,5,2,1808
